Date,Demand
01-01-1996,79.35
02-01-1996,75.78
03-01-1996,86.32
04-01-1996,72.6
05-01-1996,74.86
06-01-1996,83.81
07-01-1996,79.8
08-01-1996,62.41
09-01-1996,85.41
10-01-1996,83.11
11-01-1996,84.21
12-01-1996,89.7
01-01-1997,78.64
02-01-1997,77.42
03-01-1997,89.86
04-01-1997,81.27
05-01-1997,78.68
06-01-1997,89.51
07-01-1997,83.67
08-01-1997,69.8
09-01-1997,91.09
10-01-1997,89.43
11-01-1997,91.04
12-01-1997,92.87
01-01-1998,81.87
02-01-1998,85.36
03-01-1998,92.98
04-01-1998,81.09
05-01-1998,85.64
06-01-1998,91.14
07-01-1998,83.46
08-01-1998,66.37
09-01-1998,93.34
10-01-1998,85.93
11-01-1998,86.81
12-01-1998,93.3
01-01-1999,81.59
02-01-1999,81.77
03-01-1999,91.24
04-01-1999,79.45
05-01-1999,86.99
06-01-1999,96.6
07-01-1999,97.99
08-01-1999,79.13
09-01-1999,103.56
10-01-1999,100.89
11-01-1999,99.4
12-01-1999,111.8
01-01-2000,95.3
02-01-2000,97.77
03-01-2000,116.23
04-01-2000,100.98
05-01-2000,104.07
06-01-2000,114.64
07-01-2000,107.62
08-01-2000,96.12
09-01-2000,123.5
10-01-2000,116.12
11-01-2000,116.86
12-01-2000,128.61
01-01-2001,100.56
02-01-2001,103.05
03-01-2001,119.06
04-01-2001,92.46
05-01-2001,98.75
06-01-2001,111.14
07-01-2001,96.13
08-01-2001,79.72
09-01-2001,102.07
10-01-2001,96.18
11-01-2001,101.26
12-01-2001,109.85
01-01-2002,89.52
02-01-2002,89.27
03-01-2002,104.35
04-01-2002,87.05
05-01-2002,89.33
06-01-2002,102.2
07-01-2002,88.13
08-01-2002,75.68
09-01-2002,99.48
10-01-2002,96.4
11-01-2002,96.16
12-01-2002,101
01-01-2003,89.34
02-01-2003,86.91
03-01-2003,98.9
04-01-2003,85.54
05-01-2003,85.25
06-01-2003,101.14
07-01-2003,91.8
08-01-2003,76.98
09-01-2003,104.33
10-01-2003,99.72
11-01-2003,101.06
12-01-2003,109
01-01-2004,89.88
02-01-2004,92.27
03-01-2004,105.11
04-01-2004,91.5
05-01-2004,92.56
06-01-2004,104.35
07-01-2004,96.21
08-01-2004,79.58
09-01-2004,105.43
10-01-2004,99.18
11-01-2004,99.77
12-01-2004,113.55
01-01-2005,91.65
02-01-2005,90.56
03-01-2005,105.52
04-01-2005,92.18
05-01-2005,91.22
06-01-2005,109.04
07-01-2005,99.26
08-01-2005,83.36
09-01-2005,110.8
10-01-2005,104.95
11-01-2005,107.07
12-01-2005,114.4
